"ID","CountryCode","Population"
1,AFG,1780000
2,AFG,237500
3,AFG,186800
4,AFG,127800
5,NLD,731200
6,NLD,593321
7,NLD,440900
8,NLD,234323
9,NLD,201843
10,NLD,193238
11,NLD,172701
12,NLD,160398
13,NLD,153491
14,NLD,152463
15,NLD,149544
16,NLD,148772
17,NLD,142465
18,NLD,138020
19,NLD,135621
20,NLD,129170
21,NLD,126270
22,NLD,122087
23,NLD,119811
24,NLD,117196
25,NLD,110722
26,NLD,110214
27,NLD,105853
28,NLD,105819
29,NLD,101574
30,NLD,95268
31,NLD,95052
32,NLD,92713
33,ANT,2345
34,ALB,270000
35,DZA,2168000
36,DZA,609823
37,DZA,443727
38,DZA,222518
39,DZA,183377
40,DZA,179055
41,DZA,153106
42,DZA,128747
43,DZA,128281
44,DZA,127284
45,DZA,117162
46,DZA,115212
47,DZA,112007
48,DZA,110242
49,DZA,107311
50,DZA,100118
51,DZA,96794
52,DZA,89415
53,ASM,5200
54,ASM,2323
55,AND,21189
56,AGO,2022000
57,AGO,163100
58,AGO,130000
59,AGO,128300
60,AGO,118200
61,AIA,961
62,AIA,595
63,ATG,24000
64,ARE,669181
65,ARE,398695
66,ARE,320095
67,ARE,225970
68,ARE,114395
69,ARG,2982146
70,ARG,1266461
71,ARG,1157507
72,ARG,907718
73,ARG,622013
74,ARG,559249
75,ARG,538918
76,ARG,521936
77,ARG,512880
78,ARG,470809
79,ARG,469735
80,ARG,463846
81,ARG,422542
82,ARG,367550
83,ARG,356993
84,ARG,353063
85,ARG,353046
86,ARG,352311
87,ARG,349246
88,ARG,315432
89,ARG,306341
90,ARG,296226
91,ARG,290335
92,ARG,288341
93,ARG,276916
94,ARG,258103
95,ARG,248700
96,ARG,239810
97,ARG,235760
98,ARG,229212
99,ARG,221754
100,ARG,207041
101,ARG,206998
102,ARG,201273
103,ARG,200595
104,ARG,189947
105,ARG,178748
106,ARG,170028
107,ARG,167296
108,ARG,158197
109,ARG,153036
110,ARG,147636
111,ARG,145823
112,ARG,138117
113,ARG,134935
114,ARG,134355
115,ARG,124104
116,ARG,123027
117,ARG,119302
118,ARG,119152
119,ARG,116675
120,ARG,116485
121,ARG,113428
122,ARG,110136
123,ARG,99578
124,ARG,94651
125,ARG,91101
126,ARM,1248700
127,ARM,211700
128,ARM,172700
129,ABW,29034
130,AUS,3276207
131,AUS,2865329
132,AUS,1291117
133,AUS,1096829
134,AUS,978100
135,AUS,322723
136,AUS,311932
137,AUS,270324
138,AUS,227657
139,AUS,219761
140,AUS,126118
141,AUS,125382
142,AUS,109914
143,AUS,92273
144,AZE,1787800
145,AZE,299300
146,AZE,283000
147,AZE,93900
148,BHS,172000
149,BHR,148000
150,BGD,3612850
151,BGD,1392860
152,BGD,663340
153,BGD,294056
154,BGD,202134
155,BGD,191398
156,BGD,188713
157,BGD,170232
158,BGD,168702
159,BGD,139710
160,BGD,135313
161,BGD,130577
162,BGD,127815
163,BGD,120170
164,BGD,117396
165,BGD,109032
166,BGD,106004
167,BGD,103556
168,BGD,103277
169,BGD,101266
170,BGD,99669
171,BGD,98342
172,BGD,96777
173,BGD,96717
174,BRB,6070
175,BEL,446525
176,BEL,224180
177,BEL,200827
178,BEL,185639
179,BEL,133859
180,BEL,116246
181,BEL,105692
182,BEL,105419
183,BEL,90935
184,BLZ,55810
185,BLZ,7105
186,BEN,536827
187,BEN,194000
188,BEN,134099
189,BEN,103577
190,BMU,1800
191,BMU,1200
192,BTN,22000
193,BOL,935361
194,BOL,758141
195,BOL,534466
196,BOL,482800
197,BOL,223553
198,BOL,178426
199,BOL,140642
200,BOL,125255
201,BIH,360000
202,BIH,143079
203,BIH,96027
204,BWA,213017
205,BWA,101805
206,BRA,9968485
207,BRA,5598953
208,BRA,2302832
209,BRA,2139125
210,BRA,2097757
211,BRA,1969868
212,BRA,1584232
213,BRA,1378087
214,BRA,1314032
215,BRA,1255049
216,BRA,1186926
217,BRA,1095874
218,BRA,1056330
219,BRA,950043
220,BRA,869254
221,BRA,862225
222,BRA,837588
223,BRA,786288
224,BRA,746758
225,BRA,723132
226,BRA,691942
227,BRA,688955
228,BRA,659604
229,BRA,649593
230,BRA,630073
231,BRA,584029
232,BRA,558680
233,BRA,520801
234,BRA,515553
235,BRA,487222
236,BRA,479992
237,BRA,473276
238,BRA,466823
239,BRA,459884
240,BRA,453813
241,BRA,450288
242,BRA,445555
243,BRA,440052
244,BRA,432257
245,BRA,428011
246,BRA,425194
247,BRA,408748
248,BRA,400940
249,BRA,398418
250,BRA,375055
251,BRA,357552
252,BRA,354732
253,BRA,352497
254,BRA,351944
255,BRA,349581
256,BRA,339194
257,BRA,335078
258,BRA,324662
259,BRA,319104
260,BRA,319033
261,BRA,318758
262,BRA,315415
263,BRA,313670
264,BRA,309750
265,BRA,302666
266,BRA,302108
267,BRA,296127
268,BRA,294125
269,BRA,290139
270,BRA,286848
271,BRA,286461
272,BRA,286058
273,BRA,282197
274,BRA,281928
275,BRA,279183
276,BRA,270874
277,BRA,270626
278,BRA,268013
279,BRA,259537
280,BRA,259425
281,BRA,256033
282,BRA,254970
283,BRA,253587
284,BRA,249225
285,BRA,248473
286,BRA,245497
287,BRA,244379
288,BRA,244247
289,BRA,241771
290,BRA,240315
291,BRA,239940
292,BRA,238738
293,BRA,238473
294,BRA,237510
295,BRA,237206
296,BRA,232685
297,BRA,231724
298,BRA,229130
299,BRA,224564
300,BRA,223011
301,BRA,222223
302,BRA,214901
303,BRA,214435
304,BRA,210540
305,BRA,208426
306,BRA,207557
307,BRA,206338
308,BRA,201073
309,BRA,199636
310,BRA,197550
311,BRA,196884
312,BRA,196147
313,BRA,195434
314,BRA,189258
315,BRA,188691
316,BRA,187122
317,BRA,186205
318,BRA,185340
319,BRA,185047
320,BRA,182984
321,BRA,182222
322,BRA,182148
323,BRA,179128
324,BRA,178988
325,BRA,177764
326,BRA,177409
327,BRA,175574
328,BRA,174381
329,BRA,173977
330,BRA,171657
331,BRA,170697
332,BRA,170356
333,BRA,169303
334,BRA,168953
335,BRA,168434
336,BRA,167795
337,BRA,167661
338,BRA,167185
339,BRA,166343
340,BRA,164716
341,BRA,164704
342,BRA,163551
343,BRA,162022
344,BRA,160510
345,BRA,155115
346,BRA,155105
347,BRA,155024
348,BRA,153383
349,BRA,150664
350,BRA,149964
351,BRA,149146
352,BRA,146005
353,BRA,145197
354,BRA,144158
355,BRA,140042
356,BRA,139570
357,BRA,139283
358,BRA,135968
359,BRA,135755
360,BRA,133980
361,BRA,133321
362,BRA,132736
363,BRA,131351
364,BRA,129756
365,BRA,129683
366,BRA,128079
367,BRA,127801
368,BRA,127634
369,BRA,126820
370,BRA,126672
371,BRA,126305
372,BRA,126076
373,BRA,125982
374,BRA,125812
375,BRA,125597
376,BRA,125597
377,BRA,124489
378,BRA,123782
379,BRA,121919
380,BRA,121904
381,BRA,121197
382,BRA,120793
383,BRA,120217
384,BRA,119503
385,BRA,119391
386,BRA,119262
387,BRA,118968
388,BRA,116929
389,BRA,115020
390,BRA,114948
391,BRA,114603
392,BRA,113595
393,BRA,113135
394,BRA,113079
395,BRA,111258
396,BRA,109965
397,BRA,109236
398,BRA,108964
399,BRA,108441
400,BRA,108314
401,BRA,108121
402,BRA,107781
403,BRA,107761
404,BRA,107755
405,BRA,107663
406,BRA,107354
407,BRA,106734
408,BRA,106278
409,BRA,105114
410,BRA,104156
411,BRA,103433
412,BRA,103240
413,BRA,103153
414,BRA,102580
415,BRA,102372
416,BRA,102217
417,BRA,101320
418,BRA,101046
419,BRA,100627
420,BRA,100356
421,BRA,100028
422,BRA,99387
423,BRA,98965
424,BRA,98570
425,BRA,98399
426,BRA,98318
427,BRA,98198
428,BRA,98140
429,BRA,97507
430,BRA,97291
431,BRA,96864
432,BRA,96610
433,BRA,96348
434,BRA,96291
435,BRA,96210
436,BRA,96131
437,BRA,95933
438,BRA,94685
439,BRA,93897
440,BRA,93346
441,BRA,93121
442,BRA,92779
443,BRA,92224
444,BRA,91999
445,BRA,91779
446,BRA,91777
447,BRA,91203
448,BRA,90519
449,BRA,90507
450,BRA,90111
451,BRA,89465
452,BRA,89388
453,BRA,89254
454,BRA,89236
455,BRA,89200
456,GBR,7285000
457,GBR,1013000
458,GBR,619680
459,GBR,461000
460,GBR,450180
461,GBR,431607
462,GBR,430000
463,GBR,424194
464,GBR,402000
465,GBR,321000
466,GBR,304000
467,GBR,294000
468,GBR,289376
469,GBR,287500
470,GBR,287000
471,GBR,262000
472,GBR,253000
473,GBR,252000
474,GBR,242000
475,GBR,236000
476,GBR,230000
477,GBR,216000
478,GBR,213070
479,GBR,196000
480,GBR,192171
481,GBR,190000
482,GBR,189150
483,GBR,183310
484,GBR,183000
485,GBR,180000
486,GBR,176000
487,GBR,174739
488,GBR,162000
489,GBR,156000
490,GBR,156124
491,GBR,151000
492,GBR,146690
493,GBR,146386
494,GBR,148000
495,GBR,145542
496,GBR,145000
497,GBR,143726
498,GBR,144000
499,GBR,141000
500,GBR,139020
501,GBR,140000
502,GBR,139000
503,GBR,135000
504,GBR,132813
505,GBR,124000
506,GBR,121380
507,GBR,121000
508,GBR,113080
509,GBR,114000
510,GBR,112000
511,GBR,111000
512,GBR,106000
513,GBR,107000
514,GBR,106293
515,GBR,106001
516,GBR,104425
517,GBR,103931
518,GBR,100924
519,GBR,100000
520,GBR,97451
521,GBR,96063
522,GBR,97000
523,GBR,92000
524,GBR,94531
525,GBR,94313
526,GBR,93087
527,GBR,95000
528,GBR,92000
529,GBR,91069
530,GBR,92000
531,GBR,90959
532,GBR,90878
533,GBR,90000
534,GBR,89000
535,GBR,27523
536,GBR,23487
537,VGB,8000
538,BRN,21484
539,BGR,1122302
540,BGR,342584
541,BGR,299801
542,BGR,195255
543,BGR,166467
544,BGR,147939
545,BGR,121952
546,BGR,105530
547,BGR,100399
548,BGR,94686
549,BFA,824000
550,BFA,300000
551,BFA,105000
552,BDI,300000
553,CYM,19600
554,CHL,4703954
555,CHL,386236
556,CHL,312493
557,CHL,293800
558,CHL,277752
559,CHL,251429
560,CHL,241910
561,CHL,233041
562,CHL,217664
563,CHL,212977
564,CHL,189036
565,CHL,187557
566,CHL,178182
567,CHL,177892
568,CHL,158215
569,CHL,152194
570,CHL,143353
571,CHL,141468
572,CHL,137409
573,CHL,137265
574,CHL,133106
575,CHL,125631
576,CHL,120128
577,CHL,118857
578,CHL,115766
579,CHL,94854
580,CHL,93061
581,CHL,91684
582,CHL,91056
583,COK,11900
584,CRI,339131
585,DJI,383000
586,DMA,16243
587,DOM,1609966
588,DOM,365463
589,DOM,140204
590,DOM,124735
591,DOM,108485
592,DOM,89423
593,ECU,2070040
594,ECU,1573458
595,ECU,270353
596,ECU,210368
597,ECU,202111
598,ECU,176413
599,ECU,169612
600,ECU,164739
601,ECU,152514
602,ECU,130643
603,ECU,129631
604,ECU,124177
605,ECU,123875
606,ECU,123163
607,ECU,123045
608,EGY,6789479
609,EGY,3328196
610,EGY,2221868
611,EGY,870716
612,EGY,469533
613,EGY,417610
614,EGY,395402
615,EGY,371010
616,EGY,369621
617,EGY,360503
618,EGY,343498
619,EGY,275807
620,EGY,267351
621,EGY,260964
622,EGY,254477
623,EGY,231978
624,EGY,219017
625,EGY,212203
626,EGY,201360
627,EGY,172032
628,EGY,171275
629,EGY,170125
630,EGY,159909
631,EGY,148787
632,EGY,145792
633,EGY,127108
634,EGY,124819
635,EGY,119283
636,EGY,113608
637,EGY,101801
638,EGY,100447
639,EGY,97700
640,EGY,97200
641,EGY,95400
642,EGY,94200
643,EGY,91700
644,EGY,91300
645,SLV,415346
646,SLV,139389
647,SLV,138800
648,SLV,129800
649,SLV,127696
650,SLV,98400
651,SLV,88800
652,ERI,431000
653,ESP,2879052
654,ESP,1503451
655,ESP,739412
656,ESP,701927
657,ESP,603367
658,ESP,530553
659,ESP,357589
660,ESP,354757
661,ESP,353504
662,ESP,326993
663,ESP,319998
664,ESP,311708
665,ESP,283670
666,ESP,272432
667,ESP,267980
668,ESP,247986
669,ESP,244767
670,ESP,243402
671,ESP,217154
672,ESP,213050
673,ESP,209635
674,ESP,200453
675,ESP,195351
676,ESP,193174
677,ESP,184859
678,ESP,184165
679,ESP,182660
680,ESP,180483
681,ESP,179208
682,ESP,177709
683,ESP,173163
684,ESP,171173
685,ESP,169027
686,ESP,168695
687,ESP,164463
688,ESP,162802
689,ESP,158720
690,ESP,147527
691,ESP,145371
692,ESP,142449
693,ESP,142048
694,ESP,140583
695,ESP,139809
696,ESP,139712
697,ESP,136613
698,ESP,127945
699,ESP,127093
700,ESP,120802
701,ESP,113016
702,ESP,112207
703,ESP,109247
704,ESP,109120
705,ESP,104095
706,ESP,103106
707,ESP,101144
708,ESP,98212
709,ESP,94591
710,ESP,93745
711,ESP,92262
712,ZAF,2352121
713,ZAF,904165
714,ZAF,756653
715,ZAF,752319
716,ZAF,658630
717,ZAF,634065
718,ZAF,566120
719,ZAF,468931
720,ZAF,442633
721,ZAF,410102
722,ZAF,378810
723,ZAF,370190
724,ZAF,365467
725,ZAF,341288
726,ZAF,339233
727,ZAF,334341
728,ZAF,328535
729,ZAF,283289
730,ZAF,279340
731,ZAF,262648
732,ZAF,261911
733,ZAF,242727
734,ZAF,222993
735,ZAF,221047
736,ZAF,203296
737,ZAF,197254
738,ZAF,192120
739,ZAF,189885
740,ZAF,182639
741,ZAF,181503
742,ZAF,177971
743,ZAF,171363
744,ZAF,167183
745,ZAF,164367
746,ZAF,164252
747,ZAF,162072
748,ZAF,159632
749,ZAF,120838
750,ZAF,105768
751,ZAF,101817
752,ZAF,97008
753,ZAF,96734
754,ZAF,93818
755,ZAF,89292
756,ETH,2495000
757,ETH,164851
758,ETH,127842
759,ETH,112249
760,ETH,97314
761,ETH,96938
762,ETH,96140
763,FLK,1636
764,FJI,77366
765,PHL,2173831
766,PHL,1581082
767,PHL,1177604
768,PHL,1147116
769,PHL,718821
770,PHL,601794
771,PHL,505058
772,PHL,485433
773,PHL,472780
774,PHL,470866
775,PHL,467375
776,PHL,461877
777,PHL,449811
778,PHL,444867
779,PHL,429076
780,PHL,411822
781,PHL,391170
782,PHL,379520
783,PHL,379310
784,PHL,365820
785,PHL,354908
786,PHL,338855
787,PHL,315807
