0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,postgres_cardinality,sql_query,actual_cardinality,XGB_cardinality,nn_cardinality
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4078,"SELECT * FROM city, country WHERE country_code = code AND city.id != 1713",4078,4078.0344,3900.6008
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1323,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6534376,1,SELECT * FROM country WHERE country.capital != 1323 AND country.gnp_old >= 6534376,1,1.0226135,1.878058
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4848937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,SELECT * FROM country WHERE country.gnp_old <= 4848937,177,177.02419,36.19405
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6203146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,SELECT * FROM country WHERE country.gnp_old != 6203146,178,177.96652,963.51184
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1802789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,"SELECT * FROM city, country WHERE country_code = code AND country.gnp_old >= 1802789",615,614.9832,1115.7858
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9921649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4078,"SELECT * FROM city, country WHERE country_code = code AND city.population != 9921649",4079,4079.1216,3873.8616
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5660899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4053,SELECT * FROM city WHERE city.population <= 5660899,4059,4059.0344,2803.4504
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3348,SELECT * FROM city WHERE city.id < 3348,3347,3347.0334,2825.5073
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354,"SELECT * FROM city, country WHERE country_code = code AND city.id >= 2726",1354,1353.901,1300.484
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2792993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SELECT * FROM country WHERE country.gnp_old = 2792993,0,0.0930106,1.878058
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1866458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,"SELECT * FROM city, country WHERE country_code = code AND country.gnp_old >= 1866458",615,615.2114,1115.6947
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1783,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1242,20,SELECT * FROM city WHERE city.id >= 1783 AND city.id <= 1242,0,0.0,430.81326
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1938337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4078,SELECT * FROM city WHERE city.population != 1938337,4079,4079.0457,3762.8232
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9496605,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6867142,1,SELECT * FROM city WHERE city.population >= 9496605 AND city.population <= 6867142,0,0.0067006387,469.05112
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1836137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,"SELECT * FROM city, country WHERE country_code = code AND country.gnp_old >= 1836137",615,615.0575,1115.738
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1834369,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6463393,176,SELECT * FROM country WHERE country.gnp_old <= 1834369 AND country.gnp_old < 6463393,175,174.93561,1.878058
1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,"SELECT * FROM city, country WHERE country_code = code AND country.capital = 3055",0,0.0,44.33738
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1484873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3946,SELECT * FROM city WHERE city.population < 1484873,3948,3948.0425,2810.842
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2718609,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5446386,223,SELECT * FROM country WHERE country.gnp_old < 2718609 OR country.gnp_old <= 5446386,177,176.97617,49.918335
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1894,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5201404,200,SELECT * FROM country WHERE country.capital < 1894 OR country.gnp_old < 5201404,195,194.99756,53.39452
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2758723,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1506,1,SELECT * FROM country WHERE country.gnp_old >= 2758723 AND country.capital <= 1506,0,0.013902471,1.878058
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,309356,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1362476,1,SELECT * FROM country WHERE country.gnp_old = 309356 AND country.gnp_old > 1362476,0,0.13156292,1.878058
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1538195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,SELECT * FROM city WHERE city.population > 1538195,126,125.858345,1179.9803
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3858,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3483,16,SELECT * FROM country WHERE country.capital = 3858 OR country.capital >= 3483,17,16.968487,1.878058
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3012,SELECT * FROM city WHERE city.id <= 3012,3012,3011.962,2824.0913
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,SELECT * FROM city WHERE city.id < 294,293,293.01843,2825.512
0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,577,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3861,1,SELECT * FROM country WHERE country.capital > 577 AND country.capital = 3861,0,0.0045376173,1.878058
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7083663,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1301,2784,SELECT * FROM city WHERE city.population > 7083663 OR city.id > 1301,2783,2782.9563,1712.7592
1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3401650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3004,"SELECT * FROM city, country WHERE country_code = code AND country.gnp_old < 3401650",3423,3423.0027,2760.9834
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,860,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,634,45,SELECT * FROM country WHERE country.capital < 860 AND country.capital <= 634,44,44.00296,1.878058
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1663,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2447,35,SELECT * FROM country WHERE country.capital >= 1663 AND country.capital <= 2447,34,34.00198,1.878058
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,692143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4078,SELECT * FROM city WHERE city.population != 692143,4079,4078.9348,3764.6064
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6860148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3021,"SELECT * FROM city, country WHERE country_code = code AND country.gnp_old != 6860148",3945,3945.0046,3708.6648
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116,"SELECT * FROM city, country WHERE country_code = code AND country.capital <= 2471",2481,2481.1401,2837.9968
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843,"SELECT * FROM city, country WHERE country_code = code AND country.capital >= 2482",1598,1597.8937,1191.9283
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4433987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,"SELECT * FROM city, country WHERE country_code = code AND city.population >= 4433987",26,25.976645,1281.598
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5557297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3021,"SELECT * FROM city, country WHERE country_code = code AND country.gnp_old <= 5557297",3671,3671.0154,2756.4822
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,SELECT * FROM country WHERE country.capital >= 1385,158,158.00131,1.878058
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4078,"SELECT * FROM city, country WHERE country_code = code AND city.id != 1986",4078,4078.1062,3900.6003
1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2543,"SELECT * FROM city, country WHERE country_code = code AND country.capital > 1726",2300,2300.013,1208.629
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4078,"SELECT * FROM city, country WHERE country_code = code AND city.id != 3908",4078,4078.0168,3900.5977
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3717,SELECT * FROM city WHERE city.id <= 3716,3716,3715.9456,2824.09
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3086332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,SELECT * FROM country WHERE country.gnp_old != 3086332,178,177.99403,967.97144
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4494935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,"SELECT * FROM city, country WHERE country_code = code AND city.population >= 4494935",26,26.024738,1281.5109
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3869705,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,840,1,SELECT * FROM city WHERE city.population != 3869705 AND city.id = 840,1,1.0173812,1171.8544
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9377542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4078,"SELECT * FROM city, country WHERE country_code = code AND city.population != 9377542",4079,4079.108,3874.6401
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1703977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3021,"SELECT * FROM city, country WHERE country_code = code AND country.gnp_old != 1703977",3945,3945.1084,3716.0425
