,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,actual_cardinality,postgres_cardinality,sql_query
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1692900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SELECT * FROM country WHERE country.gnp_old = 1692900
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9958656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SELECT * FROM city WHERE city.population = 9958656
2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3381,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4981547,1,1,SELECT * FROM city WHERE city.id = 3381 AND city.population != 4981547
3,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,1229,"SELECT * FROM city, country WHERE country_code = code AND country.capital < 1216"
4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,693,"SELECT * FROM city, country WHERE country_code = code AND city.id >= 3386"
5,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9305690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,"SELECT * FROM city, country WHERE country_code = code AND city.population > 9305690"
6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4721381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32,SELECT * FROM city WHERE city.population >= 4721381
7,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,84696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4079,4078,"SELECT * FROM city, country WHERE country_code = code AND city.population != 84696"
8,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8242722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,"SELECT * FROM city, country WHERE country_code = code AND city.population >= 8242722"
9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2889,2889,SELECT * FROM city WHERE city.id <= 2889
10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2795670,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2825,119,111,SELECT * FROM country WHERE country.gnp_old != 2795670 AND country.capital < 2825
11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2557,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4998052,99,101,SELECT * FROM country WHERE country.capital >= 2557 OR country.gnp_old >= 4998052
12,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,230,SELECT * FROM country WHERE country.capital < 3944
13,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4079,3942,"SELECT * FROM city, country WHERE country_code = code AND country.capital != 2614"
